file,column,ordinal,onset,offset,hand,look
dyad1,childhands,1,28846,157944,left,
dyad1,childhands,2,177790,184132,,1
dyad1,childhands,3,199152,201028,,1
dyad1,childhands,4,204120,226493,left,
dyad1,childhands,5,236796,251476,right,
dyad1,childhands,6,274095,315907,both,0
dyad1,childhands,7,340458,343197,right,0
dyad1,childhands,8,343727,343979,right,
dyad1,childhands,9,363359,378935,right,
dyad1,childhands,10,568323,726550,both,1
dyad1,childhands,11,771498,775042,left,
dyad1,childhands,12,789640,792189,both,
dyad1,childhands,13,792585,852058,,0
dyad1,childhands,14,899116,932067,both,1
dyad1,childhands,15,951295,952334,both,
dyad1,childhands,16,1016744,1032712,right,
dyad1,childhands,17,1056570,1057247,both,0
dyad1,childhands,18,1159369,1160413,right,0
dyad1,childhands,19,1161218,1165341,both,1
dyad1,childhands,20,1213064,1213506,right,0
dyad1,childhands,21,1218424,1233645,both,0
dyad1,childhands,22,1271426,1279974,both,1
dyad1,childhands,23,1337384,1343786,,0
dyad1,childhands,24,1371605,1380760,left,
dyad1,childhands,25,1533134,1562035,left,0
dyad1,childhands,26,1586296,1594418,both,0
dyad1,childhands,27,1603341,1619807,left,0
dyad1,childhands,28,1630736,1667573,,0
dyad1,childhands,29,1676530,1705107,left,
dyad1,childhands,30,1726021,1805236,left,1
dyad1,childhands,31,1827798,1834355,both,1
dyad1,childhands,32,1841804,1847696,both,
dyad1,childhands,33,1854064,1877210,right,0
dyad1,childhands,34,1900165,1927930,both,0
dyad1,childhands,35,1999806,2017209,left,
dyad1,childhands,36,2057281,2157693,,
dyad1,childhands,37,2344042,2668651,left,0
dyad1,childhands,38,2742845,2745493,,1
dyad1,childhands,39,2767293,2779610,left,1
dyad1,childhands,40,2787161,2939796,right,
dyad1,childhands,41,3021944,3067460,right,1
dyad1,childhands,42,3105930,3160287,,0
dyad1,childhands,43,3165542,3169199,both,1
dyad1,childhands,44,3234540,3241448,left,
dyad1,childhands,45,3254456,3277499,left,0
dyad1,childhands,46,3308080,3315754,,0
dyad1,childhands,47,3324344,3352143,both,
dyad1,childhands,48,3353373,3504225,left,1
dyad1,childhands,49,3531638,3541286,left,1
dyad1,childhands,50,3571672,3588593,left,0
